,Region,ITEM_CODE,Period,Value,Category
227,NW,PROD_004,2019 W21,35,Warranty
228,NW,PROD_005,2019 W21,38,Warranty
229,NW,PROD_006,2019 W21,29,Warranty
230,NW,PROD_007,2019 W21,41,Warranty
231,NW,PROD_008,2019 W21,32,Warranty
232,NW,ESP_001,2019 W21,12,Warranty
233,NW,ESP_002,2019 W21,5,Warranty
234,NW,ESP_003,2019 W21,5,Warranty
235,NW,ESP_004,2019 W21,6,Warranty
236,NW,ESP_005,2019 W21,9,Warranty
237,NW,ESP_006,2019 W21,10,Warranty
238,NW,ESP_007,2019 W21,6,Warranty
239,NW,ESP_008,2019 W21,5,Warranty
240,NW,PROD_001,2019 W22,47,Product
241,NW,PROD_002,2019 W22,33,Product
242,NW,PROD_003,2019 W22,38,Product
243,NW,PROD_004,2019 W22,22,Product
244,NW,PROD_005,2019 W22,48,Product
245,NW,PROD_006,2019 W22,29,Product
246,NW,PROD_007,2019 W22,33,Product
247,NW,PROD_008,2019 W22,25,Product
248,NW,ESP_001,2019 W22,12,Product
249,NW,ESP_002,2019 W22,4,Product
250,NW,ESP_003,2019 W22,7,Product
251,NW,ESP_004,2019 W22,4,Product
252,NW,ESP_005,2019 W22,13,Product
253,NW,ESP_006,2019 W22,10,Product
254,NW,ESP_007,2019 W22,6,Product
255,NW,ESP_008,2019 W22,4,Product
256,NW,PROD_001,2019 W23,44,Product
257,NW,PROD_002,2019 W23,27,Product
258,NW,PROD_003,2019 W23,26,Product
259,NW,PROD_004,2019 W23,26,Product
260,NW,PROD_005,2019 W23,38,Product
261,NW,PROD_006,2019 W23,32,Product
262,NW,PROD_007,2019 W23,38,Product
263,NW,PROD_008,2019 W23,27,Product
264,NW,ESP_001,2019 W23,12,Product
265,NW,ESP_002,2019 W23,4,Product
266,NW,ESP_003,2019 W23,6,Product
267,NW,ESP_004,2019 W23,6,Product
268,NW,ESP_005,2019 W23,11,Product
269,NW,ESP_006,2019 W23,12,Product
270,NW,ESP_007,2019 W23,8,Product
271,NW,ESP_008,2019 W23,5,Product
272,NW,PROD_001,2019 W24,38,Product
273,NW,PROD_002,2019 W24,39,Product
274,NW,PROD_003,2019 W24,28,Product
275,NW,PROD_004,2019 W24,44,Product
276,NW,PROD_005,2019 W24,30,Product
277,NW,PROD_006,2019 W24,24,Product
278,NW,PROD_007,2019 W24,31,Product
279,NW,PROD_008,2019 W24,50,Product
280,NW,ESP_001,2019 W24,11,Warranty
281,NW,ESP_002,2019 W24,7,Warranty
282,NW,ESP_003,2019 W24,7,Warranty
283,NW,ESP_004,2019 W24,11,Warranty
284,NW,ESP_005,2019 W24,9,Warranty
285,NW,ESP_006,2019 W24,10,Warranty
286,NW,ESP_007,2019 W24,7,Warranty
287,NW,ESP_008,2019 W24,11,Warranty
288,NW,PROD_001,2019 W25,32,Warranty
289,NW,PROD_002,2019 W25,23,Warranty
290,NW,PROD_003,2019 W25,24,Warranty
291,NW,PROD_004,2019 W25,18,Warranty
292,NW,PROD_005,2019 W25,21,Warranty
293,NW,PROD_006,2019 W25,23,Warranty
294,NW,PROD_007,2019 W25,34,Warranty
295,NW,PROD_008,2019 W25,33,Warranty
296,NW,ESP_001,2019 W25,9,Warranty
297,NW,ESP_002,2019 W25,4,Warranty
298,NW,ESP_003,2019 W25,6,Warranty
299,NW,ESP_004,2019 W25,4,Warranty
300,NW,ESP_005,2019 W25,7,Warranty
301,NW,ESP_006,2019 W25,10,Warranty
302,NW,ESP_007,2019 W25,8,Warranty
303,NW,ESP_008,2019 W25,8,Warranty
304,NW,PROD_001,2019 W26,29,Warranty
305,NW,PROD_002,2019 W26,22,Warranty
306,NW,PROD_003,2019 W26,21,Warranty
307,NW,PROD_004,2019 W26,41,Warranty
308,NW,PROD_005,2019 W26,20,Warranty
309,NW,PROD_006,2019 W26,19,Warranty
310,NW,PROD_007,2019 W26,20,Warranty
311,NW,PROD_008,2019 W26,14,Warranty
312,NW,ESP_001,2019 W26,9,Warranty
313,NW,ESP_002,2019 W26,5,Warranty
314,NW,ESP_003,2019 W26,5,Warranty
315,NW,ESP_004,2019 W26,10,Warranty
316,NW,ESP_005,2019 W26,6,Warranty
317,NW,ESP_006,2019 W26,8,Warranty
318,NW,ESP_007,2019 W26,5,Warranty
319,NW,ESP_008,2019 W26,4,Warranty
320,NW,PROD_001,2019 W27,41,Product
321,NW,PROD_002,2019 W27,29,Product
322,NW,PROD_003,2019 W27,26,Product
323,NW,PROD_004,2019 W27,30,Product
324,NW,PROD_005,2019 W27,22,Product
325,NW,PROD_006,2019 W27,32,Product
326,NW,PROD_007,2019 W27,24,Product
327,NW,PROD_008,2019 W27,11,Product
328,NW,ESP_001,2019 W27,13,Product
329,NW,ESP_002,2019 W27,7,Product
330,NW,ESP_003,2019 W27,6,Product
331,NW,ESP_004,2019 W27,7,Product
332,NW,ESP_005,2019 W27,7,Product
333,NW,ESP_006,2019 W27,14,Product
334,NW,ESP_007,2019 W27,6,Product
335,NW,ESP_008,2019 W27,3,Product
336,NW,PROD_001,2019 W28,27,Product
337,NW,PROD_002,2019 W28,24,Product
338,NW,PROD_003,2019 W28,24,Product
339,NW,PROD_004,2019 W28,22,Product
340,NW,PROD_005,2019 W28,24,Product
341,NW,PROD_006,2019 W28,26,Product
342,NW,PROD_007,2019 W28,27,Product
343,NW,PROD_008,2019 W28,13,Product
344,NW,ESP_001,2019 W28,9,Product
345,NW,ESP_002,2019 W28,6,Product
346,NW,ESP_003,2019 W28,6,Product
347,NW,ESP_004,2019 W28,5,Product
348,NW,ESP_005,2019 W28,8,Product
349,NW,ESP_006,2019 W28,12,Product
350,NW,ESP_007,2019 W28,8,Product
351,NW,ESP_008,2019 W28,4,Product
352,NW,PROD_001,2019 W29,21,Product
353,NW,PROD_002,2019 W29,36,Product
354,NW,PROD_003,2019 W29,33,Product
355,NW,PROD_004,2019 W29,28,Product
356,NW,PROD_005,2019 W29,23,Product
357,NW,PROD_006,2019 W29,28,Product
358,NW,PROD_007,2019 W29,31,Product
359,NW,PROD_008,2019 W29,24,Product
360,NW,ESP_001,2019 W29,7,Warranty
361,NW,ESP_002,2019 W29,9,Warranty
362,NW,ESP_003,2019 W29,8,Warranty
363,NW,ESP_004,2019 W29,7,Warranty
364,NW,ESP_005,2019 W29,8,Warranty
365,NW,ESP_006,2019 W29,13,Warranty
366,NW,ESP_007,2019 W29,9,Warranty
367,NW,ESP_008,2019 W29,7,Warranty
368,NW,PROD_001,2019 W03,36,Warranty
369,NW,PROD_002,2019 W03,51,Warranty
370,NW,PROD_003,2019 W03,38,Warranty
371,NW,PROD_004,2019 W03,32,Warranty
372,NW,PROD_005,2019 W03,38,Warranty
373,NW,PROD_006,2019 W03,35,Warranty
374,NW,PROD_007,2019 W03,32,Warranty
375,NW,PROD_008,2019 W03,20,Warranty
376,NW,ESP_001,2019 W03,9,Warranty
377,NW,ESP_002,2019 W03,9,Warranty
378,NW,ESP_003,2019 W03,7,Warranty
379,NW,ESP_004,2019 W03,6,Warranty
380,NW,ESP_005,2019 W03,9,Warranty
381,NW,ESP_006,2019 W03,13,Warranty
382,NW,ESP_007,2019 W03,6,Warranty
383,NW,ESP_008,2019 W03,4,Warranty
384,NW,PROD_001,2019 W30,36,Warranty
385,NW,PROD_002,2019 W30,33,Warranty
386,NW,PROD_003,2019 W30,28,Warranty
387,NW,PROD_004,2019 W30,31,Warranty
388,NW,PROD_005,2019 W30,31,Warranty
389,NW,PROD_006,2019 W30,31,Warranty
390,NW,PROD_007,2019 W30,25,Warranty
391,NW,PROD_008,2019 W30,16,Warranty
392,NW,ESP_001,2019 W30,12,Warranty
393,NW,ESP_002,2019 W30,8,Warranty
394,NW,ESP_003,2019 W30,7,Warranty
395,NW,ESP_004,2019 W30,8,Warranty
396,NW,ESP_005,2019 W30,10,Warranty
397,NW,ESP_006,2019 W30,14,Warranty
398,NW,ESP_007,2019 W30,7,Warranty
399,NW,ESP_008,2019 W30,5,Warranty
400,NW,PROD_001,2019 W31,27,Product
401,NW,PROD_002,2019 W31,33,Product
402,NW,PROD_003,2019 W31,24,Product
403,NW,PROD_004,2019 W31,21,Product
404,NW,PROD_005,2019 W31,23,Product
405,NW,PROD_006,2019 W31,22,Product
406,NW,PROD_007,2019 W31,18,Product
407,NW,PROD_008,2019 W31,17,Product
408,NW,ESP_001,2019 W31,9,Product
409,NW,ESP_002,2019 W31,9,Product
410,NW,ESP_003,2019 W31,6,Product
411,NW,ESP_004,2019 W31,6,Product
412,NW,ESP_005,2019 W31,8,Product
413,NW,ESP_006,2019 W31,10,Product
414,NW,ESP_007,2019 W31,5,Product
415,NW,ESP_008,2019 W31,5,Product
416,NW,PROD_001,2019 W32,30,Product
417,NW,PROD_002,2019 W32,32,Product
418,NW,PROD_003,2019 W32,24,Product
419,NW,PROD_004,2019 W32,27,Product
420,NW,PROD_005,2019 W32,33,Product
421,NW,PROD_006,2019 W32,49,Product
422,NW,PROD_007,2019 W32,35,Product
423,NW,PROD_008,2019 W32,15,Product
424,NW,ESP_001,2019 W32,10,Product
425,NW,ESP_002,2019 W32,8,Product
426,NW,ESP_003,2019 W32,6,Product
427,NW,ESP_004,2019 W32,7,Product
428,NW,ESP_005,2019 W32,11,Product
429,NW,ESP_006,2019 W32,23,Product
430,NW,ESP_007,2019 W32,10,Product
431,NW,ESP_008,2019 W32,4,Product
432,NW,PROD_001,2019 W33,19,Product
433,NW,PROD_002,2019 W33,38,Product
434,NW,PROD_003,2019 W33,29,Product
435,NW,PROD_004,2019 W33,33,Product
436,NW,PROD_005,2019 W33,31,Product
437,NW,PROD_006,2019 W33,35,Product
438,NW,PROD_007,2019 W33,19,Product
439,NW,PROD_008,2019 W33,17,Product
440,NW,ESP_001,2019 W33,6,Warranty
441,NW,ESP_002,2019 W33,9,Warranty
442,NW,ESP_003,2019 W33,7,Warranty
443,NW,ESP_004,2019 W33,8,Warranty
444,NW,ESP_005,2019 W33,10,Warranty
445,NW,ESP_006,2019 W33,16,Warranty
446,NW,ESP_007,2019 W33,5,Warranty
447,NW,ESP_008,2019 W33,5,Warranty
448,NW,PROD_001,2019 W34,46,Warranty
449,NW,PROD_002,2019 W34,32,Warranty
450,NW,PROD_003,2019 W34,23,Warranty
451,NW,PROD_004,2019 W34,39,Warranty
452,NW,PROD_005,2019 W34,39,Warranty
453,NW,PROD_006,2019 W34,29,Warranty
454,NW,PROD_007,2019 W34,34,Warranty
455,NW,PROD_008,2019 W34,18,Warranty
456,NW,ESP_001,2019 W34,14,Warranty
457,NW,ESP_002,2019 W34,7,Warranty
458,NW,ESP_003,2019 W34,5,Warranty
459,NW,ESP_004,2019 W34,9,Warranty
460,NW,ESP_005,2019 W34,12,Warranty
461,NW,ESP_006,2019 W34,12,Warranty
462,NW,ESP_007,2019 W34,8,Warranty
463,NW,ESP_008,2019 W34,4,Warranty
464,NW,PROD_001,2019 W35,31,Warranty
465,NW,PROD_002,2019 W35,30,Warranty
466,NW,PROD_003,2019 W35,30,Warranty
467,NW,PROD_004,2019 W35,27,Warranty
468,NW,PROD_005,2019 W35,30,Warranty
469,NW,PROD_006,2019 W35,38,Warranty
470,NW,PROD_007,2019 W35,23,Warranty
471,NW,PROD_008,2019 W35,20,Warranty
472,NW,ESP_001,2019 W35,8,Warranty
473,NW,ESP_002,2019 W35,6,Warranty
474,NW,ESP_003,2019 W35,6,Warranty
475,NW,ESP_004,2019 W35,6,Warranty
476,NW,ESP_005,2019 W35,9,Warranty
477,NW,ESP_006,2019 W35,15,Warranty
478,NW,ESP_007,2019 W35,5,Warranty
479,NW,ESP_008,2019 W35,4,Warranty
480,NW,PROD_001,2019 W36,33,Product
481,NW,PROD_002,2019 W36,32,Product
482,NW,PROD_003,2019 W36,38,Product
483,NW,PROD_004,2019 W36,29,Product
484,NW,PROD_005,2019 W36,30,Product
485,NW,PROD_006,2019 W36,29,Product
486,NW,PROD_007,2019 W36,20,Product
487,NW,PROD_008,2019 W36,19,Product
488,NW,ESP_001,2019 W36,8,Product
489,NW,ESP_002,2019 W36,6,Product
490,NW,ESP_003,2019 W36,7,Product
491,NW,ESP_004,2019 W36,6,Product
492,NW,ESP_005,2019 W36,8,Product
493,NW,ESP_006,2019 W36,11,Product
494,NW,ESP_007,2019 W36,4,Product
495,NW,ESP_008,2019 W36,3,Product
496,NW,PROD_001,2019 W37,29,Product
497,NW,PROD_002,2019 W37,34,Product
498,NW,PROD_003,2019 W37,29,Product
499,NW,PROD_004,2019 W37,22,Product
500,NW,PROD_005,2019 W37,34,Product
501,NW,PROD_006,2019 W37,31,Product
502,NW,PROD_007,2019 W37,28,Product
503,NW,PROD_008,2019 W37,26,Product
504,NW,ESP_001,2019 W37,7,Product
505,NW,ESP_002,2019 W37,6,Product
506,NW,ESP_003,2019 W37,6,Product
507,NW,ESP_004,2019 W37,4,Product
508,NW,ESP_005,2019 W37,9,Product
509,NW,ESP_006,2019 W37,12,Product
510,NW,ESP_007,2019 W37,5,Product
511,NW,ESP_008,2019 W37,5,Product
512,NW,PROD_001,2019 W38,36,Product
513,NW,PROD_002,2019 W38,41,Product
514,NW,PROD_003,2019 W38,23,Product
515,NW,PROD_004,2019 W38,36,Product
516,NW,PROD_005,2019 W38,31,Product
517,NW,PROD_006,2019 W38,25,Product
518,NW,PROD_007,2019 W38,27,Product
519,NW,PROD_008,2019 W38,16,Product
520,NW,ESP_001,2019 W38,10,Warranty
521,NW,ESP_002,2019 W38,8,Warranty
522,NW,ESP_003,2019 W38,4,Warranty
523,NW,ESP_004,2019 W38,7,Warranty
524,NW,ESP_005,2019 W38,8,Warranty
525,NW,ESP_006,2019 W38,10,Warranty
526,NW,ESP_007,2019 W38,5,Warranty
527,NW,ESP_008,2019 W38,3,Warranty
528,NW,PROD_001,2019 W39,34,Warranty
529,NW,PROD_002,2019 W39,47,Warranty
530,NW,PROD_003,2019 W39,30,Warranty
531,NW,PROD_004,2019 W39,30,Warranty
532,NW,PROD_005,2019 W39,21,Warranty
533,NW,PROD_006,2019 W39,21,Warranty
534,NW,PROD_007,2019 W39,34,Warranty
535,NW,PROD_008,2019 W39,24,Warranty
536,NW,ESP_001,2019 W39,10,Warranty
537,NW,ESP_002,2019 W39,9,Warranty
538,NW,ESP_003,2019 W39,6,Warranty
539,NW,ESP_004,2019 W39,6,Warranty
540,NW,ESP_005,2019 W39,6,Warranty
541,NW,ESP_006,2019 W39,8,Warranty
542,NW,ESP_007,2019 W39,7,Warranty
543,NW,ESP_008,2019 W39,5,Warranty
544,NW,PROD_001,2019 W04,45,Warranty
545,NW,PROD_002,2019 W04,37,Warranty
546,NW,PROD_003,2019 W04,40,Warranty
547,NW,PROD_004,2019 W04,45,Warranty
548,NW,PROD_005,2019 W04,39,Warranty
549,NW,PROD_006,2019 W04,34,Warranty
550,NW,PROD_007,2019 W04,33,Warranty
551,NW,PROD_008,2019 W04,19,Warranty
552,NW,ESP_001,2019 W04,11,Warranty
553,NW,ESP_002,2019 W04,7,Warranty
554,NW,ESP_003,2019 W04,8,Warranty
555,NW,ESP_004,2019 W04,10,Warranty
556,NW,ESP_005,2019 W04,10,Warranty
557,NW,ESP_006,2019 W04,13,Warranty
558,NW,ESP_007,2019 W04,7,Warranty
559,NW,ESP_008,2019 W04,4,Warranty
560,NW,PROD_001,2019 W40,25,Product
561,NW,PROD_002,2019 W40,28,Product
562,NW,PROD_003,2019 W40,41,Product
563,NW,PROD_004,2019 W40,29,Product
564,NW,PROD_005,2019 W40,21,Product
565,NW,PROD_006,2019 W40,22,Product
566,NW,PROD_007,2019 W40,19,Product
567,NW,PROD_008,2019 W40,17,Product
568,NW,ESP_001,2019 W40,8,Product
569,NW,ESP_002,2019 W40,6,Product
570,NW,ESP_003,2019 W40,8,Product
571,NW,ESP_004,2019 W40,6,Product
572,NW,ESP_005,2019 W40,6,Product
573,NW,ESP_006,2019 W40,8,Product
574,NW,ESP_007,2019 W40,4,Product
575,NW,ESP_008,2019 W40,3,Product
576,NW,PROD_001,2019 W41,27,Product
577,NW,PROD_002,2019 W41,26,Product
578,NW,PROD_003,2019 W41,30,Product
579,NW,PROD_004,2019 W41,38,Product
580,NW,PROD_005,2019 W41,39,Product
581,NW,PROD_006,2019 W41,32,Product
582,NW,PROD_007,2019 W41,35,Product
583,NW,PROD_008,2019 W41,20,Product
584,NW,ESP_001,2019 W41,8,Product
585,NW,ESP_002,2019 W41,5,Product
586,NW,ESP_003,2019 W41,6,Product
587,NW,ESP_004,2019 W41,7,Product
588,NW,ESP_005,2019 W41,11,Product
589,NW,ESP_006,2019 W41,12,Product
590,NW,ESP_007,2019 W41,7,Product
591,NW,ESP_008,2019 W41,4,Product
592,NW,PROD_001,2019 W42,52,Product
593,NW,PROD_002,2019 W42,23,Product
594,NW,PROD_003,2019 W42,33,Product
595,NW,PROD_004,2019 W42,27,Product
596,NW,PROD_005,2019 W42,30,Product
597,NW,PROD_006,2019 W42,28,Product
598,NW,PROD_007,2019 W42,18,Product
599,NW,PROD_008,2019 W42,26,Product
600,NW,ESP_001,2019 W42,15,Warranty
601,NW,ESP_002,2019 W42,4,Warranty
602,NW,ESP_003,2019 W42,7,Warranty
603,NW,ESP_004,2019 W42,5,Warranty
604,NW,ESP_005,2019 W42,8,Warranty
605,NW,ESP_006,2019 W42,11,Warranty
606,NW,ESP_007,2019 W42,3,Warranty
607,NW,ESP_008,2019 W42,5,Warranty
